dataset_name,features_dimension,type_classifier,learning_rate_init,num_iter,score,solver,learning_rate,activation,hidden_layer_sizes
iris,4,PereptronClassifier,0.001,100,0.76,,,,
iris,4,MLPClassifier,0.001,100,0.92,lbfgs,constant,identity,"(5,)"
iris,4,MLPClassifier,0.001,100,0.92,lbfgs,constant,identity,"(100,)"
iris,4,MLPClassifier,0.001,100,0.92,lbfgs,constant,identity,"(10,10)"
iris,4,MLPClassifier,0.001,100,0.92,lbfgs,constant,identity,"(20,20,20)"
iris,4,MLPClassifier,0.001,100,0.92,lbfgs,constant,logistic,"(5,)"
iris,4,MLPClassifier,0.001,100,0.92,lbfgs,constant,logistic,"(100,)"
iris,4,MLPClassifier,0.001,100,0.92,lbfgs,constant,logistic,"(10,10)"
iris,4,MLPClassifier,0.001,100,0.92,lbfgs,constant,logistic,"(20,20,20)"
iris,4,MLPClassifier,0.001,100,0.92,lbfgs,constant,tanh,"(5,)"
iris,4,MLPClassifier,0.001,100,0.92,lbfgs,constant,tanh,"(100,)"
iris,4,MLPClassifier,0.001,100,0.92,lbfgs,constant,tanh,"(10,10)"
iris,4,MLPClassifier,0.001,100,0.92,lbfgs,constant,tanh,"(20,20,20)"
iris,4,MLPClassifier,0.001,100,0.92,lbfgs,constant,relu,"(5,)"
iris,4,MLPClassifier,0.001,100,0.92,lbfgs,constant,relu,"(100,)"
iris,4,MLPClassifier,0.001,100,0.92,lbfgs,constant,relu,"(10,10)"
iris,4,MLPClassifier,0.001,100,0.92,lbfgs,constant,relu,"(20,20,20)"
iris,4,MLPClassifier,0.001,100,0.92,lbfgs,invscaling,identity,"(5,)"
iris,4,MLPClassifier,0.001,100,0.92,lbfgs,invscaling,identity,"(100,)"
iris,4,MLPClassifier,0.001,100,0.92,lbfgs,invscaling,identity,"(10,10)"
iris,4,MLPClassifier,0.001,100,0.92,lbfgs,invscaling,identity,"(20,20,20)"
iris,4,MLPClassifier,0.001,100,0.92,lbfgs,invscaling,logistic,"(5,)"
iris,4,MLPClassifier,0.001,100,0.92,lbfgs,invscaling,logistic,"(100,)"
iris,4,MLPClassifier,0.001,100,0.92,lbfgs,invscaling,logistic,"(10,10)"
iris,4,MLPClassifier,0.001,100,0.92,lbfgs,invscaling,logistic,"(20,20,20)"
iris,4,MLPClassifier,0.001,100,0.92,lbfgs,invscaling,tanh,"(5,)"
iris,4,MLPClassifier,0.001,100,0.92,lbfgs,invscaling,tanh,"(100,)"
iris,4,MLPClassifier,0.001,100,0.92,lbfgs,invscaling,tanh,"(10,10)"
iris,4,MLPClassifier,0.001,100,0.92,lbfgs,invscaling,tanh,"(20,20,20)"
iris,4,MLPClassifier,0.001,100,0.92,lbfgs,invscaling,relu,"(5,)"
iris,4,MLPClassifier,0.001,100,0.92,lbfgs,invscaling,relu,"(100,)"
iris,4,MLPClassifier,0.001,100,0.92,lbfgs,invscaling,relu,"(10,10)"
iris,4,MLPClassifier,0.001,100,0.92,lbfgs,invscaling,relu,"(20,20,20)"
iris,4,MLPClassifier,0.001,100,0.92,lbfgs,adaptive,identity,"(5,)"
iris,4,MLPClassifier,0.001,100,0.92,lbfgs,adaptive,identity,"(100,)"
iris,4,MLPClassifier,0.001,100,0.92,lbfgs,adaptive,identity,"(10,10)"
iris,4,MLPClassifier,0.001,100,0.92,lbfgs,adaptive,identity,"(20,20,20)"
iris,4,MLPClassifier,0.001,100,0.92,lbfgs,adaptive,logistic,"(5,)"
